depmap_id,CCLEName,OncotreeLineage,OncotreePrimaryDisease,TP53_refined_status,any_TP53_LoF_high_impact,RTR_score_combined_rank_0_1,combined_RTR_quadrant,secondary_repair_preservation,secondary_repair_preservation_rank,secondary_removal_vulnerability,secondary_removal_vulnerability_rank,primary_repair_preservation,primary_repair_preservation_rank,primary_removal_vulnerability,primary_removal_vulnerability_rank,combined_repair_preservation_rank,combined_removal_vulnerability_rank,secondary_any_repair_median_auc,secondary_removal_median_auc,primary_any_repair_median_logfc,primary_removal_median_logfc,secondary_RTR_delta_any_repair_minus_removal,primary_RTR_delta_any_repair_minus_removal,RTR_score_formula_note,RTR_high_removal_high_quadrant_combined,RTR_high_top20pct,RTR_low_bottom20pct
ACH-000565,RCM1_LARGE_INTESTINE,Bowel,Colorectal Adenocarcinoma,TP53 LoF/high-impact,True,0.629263985005767,repair-low / removal-high,0.958677076656371,0.4,0.223768944036965,0.78125,-0.0350259451802,0.4256055363321799,0.566200424235,0.7750865051903114,0.4128027681660899,0.7781682525951557,0.958677076656371,0.776231055963035,-0.0350259451802,-0.566200424235,0.182446020693336,0.5311744790548001,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,False,False
ACH-000940,AN3CA_ENDOMETRIUM,Uterus,Endometrial Carcinoma,TP53 LoF/high-impact,True,0.6259407439446367,repair-low / removal-high,0.956999488893877,0.3833333333333333,0.1991528331751915,0.5625,-0.11057741413,0.1401384083044982,0.721303726991,0.9204152249134948,0.2617358708189158,0.7414576124567474,0.956999488893877,0.8008471668248085,-0.11057741413,-0.721303726991,0.1561523220690684,0.610726312861,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,False,False
ACH-000532,SNU61_LARGE_INTESTINE,Bowel,Colorectal Adenocarcinoma,TP53 LoF/high-impact,True,0.6251009227220299,repair-high / removal-high,0.980748020063961,0.53125,0.2215355598544269,0.76875,0.0962622314902,0.8910034602076125,0.374577686712,0.4100346020761246,0.7111267301038062,0.5893923010380623,0.980748020063961,0.778464440145573,0.0962622314902,-0.374577686712,0.2022835799183879,0.4708399182021999,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,False,False
ACH-000681,A549_LUNG,Lung,Non-Small Cell Lung Cancer,TP53 mutation-not-called,False,0.6223003171856978,repair-high / removal-low,1.08904518322669,0.8166666666666667,0.1646366453121139,0.2354166666666666,0.0005953277394349,0.5882352941176471,0.380818851303,0.4256055363321799,0.7024509803921568,0.3305111014994233,1.08904518322669,0.835363354687886,0.0005953277394349,-0.380818851303,0.253681828538804,0.381414179042435,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,False,False
ACH-000527,OVISE_OVARY,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,TP53 mutation-not-called,False,0.6218461649365629,repair-high / removal-high,1.15762871509694,0.9145833333333332,0.1953997523486271,0.5333333333333333,-0.1153427795535,0.1314878892733564,0.436055615344,0.5380622837370242,0.5230356113033449,0.5356978085351788,1.15762871509694,0.8046002476513728,-0.1153427795535,-0.436055615344,0.3530284674455671,0.3207128357905,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,False,False
ACH-000142,CAL29_URINARY_TRACT,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,TP53 LoF/high-impact,True,0.6215109573241061,repair-low / removal-high,0.9562658678545356,0.3770833333333333,0.208177757809296,0.6541666666666667,-0.06439367120215,0.3079584775086505,0.63150929618,0.8512110726643599,0.3425209054209919,0.7526888696655133,0.9562658678545356,0.791822242190704,-0.06439367120215,-0.63150929618,0.1644436256638315,0.56711562497785,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,False,False
ACH-000292,NCIH841_LUNG,Lung,SMARCA4-deficient undifferentiated tumor,TP53 LoF/high-impact,True,0.6179498269896193,repair-low / removal-high,0.9448728827672016,0.2625,0.2502691083804635,0.8916666666666667,-0.0885400309741999,0.2093425605536332,0.568582420083,0.7785467128027682,0.2359212802768166,0.8351066897347175,0.9448728827672016,0.7497308916195364,-0.0885400309741999,-0.568582420083,0.195141991147665,0.4800423891088,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,False,False
ACH-000171,VMRCRCZ_KIDNEY,Kidney,Renal Cell Carcinoma,TP53 LoF/high-impact,True,0.6178597174163784,repair-low / removal-high,0.98962752870538,0.56875,0.193991173818991,0.5270833333333333,-0.128012738325,0.0916955017301038,0.6368654529975,0.8581314878892734,0.3302227508650519,0.6926074106113034,0.98962752870538,0.806008826181009,-0.128012738325,-0.6368654529975,0.1836187025243709,0.5088527146724999,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,False,False
ACH-000959,SNUC4_LARGE_INTESTINE,Bowel,Colorectal Adenocarcinoma,TP53 LoF/high-impact,True,0.6155420991926183,repair-low / removal-high,0.968014431090902,0.4729166666666666,0.18679387877964,0.4604166666666666,-0.06983316744045,0.2923875432525951,0.6700234697815,0.889273356401384,0.3826521049596308,0.6748450115340253,0.968014431090902,0.81320612122036,-0.06983316744045,-0.6700234697815,0.154808309870542,0.60019030234105,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,False,False
ACH-000259,KELLY_AUTONOMIC_GANGLIA,Peripheral Nervous System,Neuroblastoma,TP53 LoF/high-impact,True,0.615343858131488,repair-high / removal-high,1.037965531869185,0.725,0.2082533075706579,0.65625,-0.0544251692806,0.3339100346020761,0.438449020399,0.5484429065743944,0.5294550173010381,0.6023464532871972,1.037965531869185,0.791746692429342,-0.0544251692806,-0.438449020399,0.2462188394398429,0.3840238511184,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,False,False
