comparison,gene,axis_membership,n_pos,n_neg,median_dep_pos,median_dep_neg,delta,mw_auc,p,FDR_within_comparison
RTR_high_removal_high_vs_other_all,GPX4,oxidative_stress_NRF2;prior_oxidative_stress,93,376,0.5801867787988184,0.4843231675494226,0.0958636112493958,0.5246225120109814,0.4621644306387851,0.8301842550363362
RTR_high_removal_high_vs_other_all,HSF1,HSP_proteostasis,93,376,0.4694446925297937,0.4864824819410857,-0.01703778941129197,0.47860901395561656,0.5229984210458191,0.8746697731283526
RTR_high_removal_high_vs_other_all,HSP90AA1,HSP_proteostasis,93,376,0.1639569473652119,0.1828033984346747,-0.018846451069462783,0.47686456188515214,0.4896572512673458,0.8481563102309384
RTR_high_removal_high_vs_other_all,HSP90AB1,HSP_proteostasis,93,376,0.23816358904363,0.17857389492796785,0.059589694115662145,0.5816174788377946,0.014757201331858674,0.4255030194141648
RTR_high_removal_high_vs_other_all,HSPA5,HSP_proteostasis,93,376,1.1023782709569558,1.1942076136625774,-0.0918293427056216,0.4527854037977579,0.158441227297204,0.5924476426894522
RTR_high_removal_high_vs_other_all,HSPA8,HSP_proteostasis,93,376,0.518910605161039,0.5017249939171554,0.017185611243883625,0.5137840311141615,0.6807526528738858,0.930666248064727
RTR_high_removal_high_vs_other_all,HSPB1,HSP_proteostasis,93,376,-0.0451146796712426,-0.02682422518902565,-0.01829045448221695,0.44595058339052845,0.10640681542589142,0.5714506339358175
RTR_high_removal_high_vs_other_all,HSPH1,HSP_proteostasis,93,376,0.0379201087343426,0.019976267772927797,0.017943840961414805,0.5627716769617936,0.06076860586414097,0.5714506339358175
RTR_high_removal_high_vs_other_all,IMPDH1,nucleotide_antifolate,93,376,0.1929997225224318,0.2118947930205406,-0.01889507049810879,0.4738904140928849,0.43555517936641597,0.812477930741199
RTR_high_removal_high_vs_other_all,IMPDH2,nucleotide_antifolate,93,376,0.4660052202792942,0.48574222109524007,-0.01973700081594587,0.45141272020132694,0.1466827121829257,0.5924476426894522
RTR_high_removal_high_vs_other_all,KEAP1,oxidative_stress_NRF2;prior_oxidative_stress,93,376,0.1219734006295363,0.1364839991353484,-0.0145105985058121,0.45390070921985815,0.1685096335296229,0.5924476426894522
RTR_high_removal_high_vs_other_all,KIF11,KIF11_control;microtubule_spindle,93,376,2.843346250149636,2.8862254383787813,-0.04287918822914527,0.49282200869366277,0.8305085292814331,0.956322159282543
RTR_high_removal_high_vs_other_all,KIF20A,microtubule_spindle,93,376,0.463095972764579,0.4861344828116657,-0.023038510047086735,0.4653683367650423,0.30096859399934106,0.7120476492179533
RTR_high_removal_high_vs_other_all,KIF2C,microtubule_spindle,93,376,0.3048079060199007,0.3118044326119539,-0.006996526592053187,0.5047471974376572,0.8875398369673452,0.967318698717219
RTR_high_removal_high_vs_other_all,KRAS,prior_oncogenic_context,93,376,0.5214706474418452,0.5427953878274732,-0.021324740385627927,0.4589052848318463,0.2196448853924804,0.6362038591956571
RTR_high_removal_high_vs_other_all,MAD2L1,microtubule_spindle,93,376,1.363529215780732,1.345611430792652,0.017917784988079832,0.5468428277282087,0.16174547378269954,0.5924476426894522
RTR_high_removal_high_vs_other_all,MCL1,apoptosis_MCL1_BCL;prior_apoptosis_core,93,376,0.645717683915111,0.5314959018691161,0.11422178204599487,0.5271390986044384,0.4176629290578645,0.8102660823722573
RTR_high_removal_high_vs_other_all,MDM2,prior_p53_decision,93,376,0.3825797627452051,0.429388664442663,-0.04680890169745788,0.4384294211850835,0.06587301141473731,0.5714506339358175
RTR_high_removal_high_vs_other_all,MDM4,prior_p53_decision,93,376,0.0595292732281166,0.0415398726066729,0.017989400621443705,0.5026881720430108,0.9363210142370532,0.9850408725331034
RTR_high_removal_high_vs_other_all,MTOR,AKT_PI3K_survival,93,376,1.3536919480705194,1.2592093327357574,0.09448261533476199,0.5414950812171129,0.215184156455679,0.6362038591956571
RTR_high_removal_high_vs_other_all,MYC,prior_oncogenic_context,93,376,2.0502126383489303,2.120781349094944,-0.07056871074601379,0.4380862502859758,0.0643797796749755,0.5714506339358175
RTR_high_removal_high_vs_other_all,MYCN,prior_oncogenic_context,93,376,0.0859583064424795,0.09052430263291195,-0.00456599619043245,0.5125543353923587,0.7078885964746642,0.9387607430645045
RTR_high_removal_high_vs_other_all,NFE2L2,oxidative_stress_NRF2;prior_oxidative_stress,93,376,0.2013127265099172,0.22474350631804574,-0.02343077980812855,0.47832303820636013,0.5174538810817565,0.8746697731283526
